Year,Month,Met region,Station ,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mch,Mfv
1875,Jul,North,SLK,87.1,99.9,80.1,17.8,9,68,0,763
1875,Jul,North,RWL,87,100,80.1,9.4,8,55,0,491
1875,Jul,West,PSH,NA,NA,NA,4.9,3,NA,1,284
1875,Jul,West,DIK,92.5,109.9,80.2,0.4,3,NA,0,312
1875,Jul,West,MLT,91.9,107.4,83.6,1.1,1,57,1,451
1875,Jul,West,SRS,NA,NA,NA,4.9,8,NA,12,154
1875,Aug,Central,DLH,85.1,96.7,80.1,5.1,7,72,51,747
1875,Aug,Central,LAH,84.8,97.8,78.1,14.5,6,73,12,665
1875,Aug,Submontane,LDH,85,98.2,77.8,8.9,8,72,31,579
1875,Aug,North,SLK,84,95.8,77.4,22.4,9,71,0,912
1875,Aug,North,RWL,82,97.9,74.9,14.3,11,64,0,565
1875,Aug,West,PSH,NA,NA,NA,4.6,3,NA,0,195
1875,Aug,West,DIK,88.7,105.4,75.4,1,3,NA,0,224
1875,Aug,West,MLT,88.9,104.1,79.3,1.1,1,61,0,345
1875,Aug,West,SRS,NA,NA,NA,3,5,NA,10,150
1875,Sep,Central,DLH,81.6,91.8,77.5,27.4,11,79,106,871
1875,Sep,Central,LAH,82.6,91.5,75.7,9.7,,76,177,1337
1875,Sep,Submontane,LDH,81.8,93.4,75.1,17.7,8,76,20,794
1875,Sep,North,SLK,81.6,94.9,74.5,4,5,71,74,2490
1875,Sep,North,RWL,77.4,93.2,69,12,11,70,0,597
1875,Sep,West,PSH,NA,NA,NA,0.4,1,NA,0,189
1875,Sep,West,DIK,83.7,100.6,71,4.4,3,NA,1,296
1875,Sep,West,MLT,86.9,103.2,78.5,0.5,2,59,0,556
1875,Sep,West,SRS,NA,NA,NA,9.5,12,NA,1,279
1875,Oct,Central,DLH,75.4,89.1,67.1,0.1,1,62,10,1142
1875,Oct,Central,LAH,73.4,87,61.6,1.3,1,73,82,2791
1875,Oct,Submontane,LDH,72.2,89.2,58.4,1,1,61,0,1251
1875,Oct,North,SLK,72.8,91.9,59.5,0.7,2,58,216,4265
1875,Oct,North,RWL,63.9,87.5,51.5,1.9,4,59,0,748
1875,Oct,West,PSH,NA,NA,NA,1,1,NA,0,303
1875,Oct,West,DIK,70.3,89.6,54.5,0,0,NA,0,412
1875,Oct,West,MLT,76,95.5,60.9,0,0,52,0,1190
1875,Oct,West,SRS,NA,NA,NA,0.7,1,NA,0,350
1875,Nov,Central,DLH,70.2,82.7,60.4,0,0,64,8,1117
1875,Nov,Central,LAH,65.3,80.5,52.4,0,0,61,12,2501
1875,Nov,Submontane,LDH,65.4,81.9,51.2,0,0,54,0,990
1875,Nov,North,SLK,63.4,82.5,49.7,0.3,2,NA,3,2625
1875,Nov,North,RWL,56.2,77,42.9,0.6,3,NA,0,732
1875,Nov,West,PSH,NA,NA,NA,1.5,3,NA,0,309
1875,Nov,West,DIK,60.2,80.8,44.1,0,0,NA,0,444
1875,Nov,West,MLT,66.3,83.9,52.5,0.3,1,55,0,1503
1875,Nov,West,SRS,NA,NA,NA,0,0,NA,0,407
1875,Dec,Central,DLH,60,73.9,48.9,0,0,70,0,763
1875,Dec,Central,LAH,57.5,70.8,45.9,0.5,3,71,0,2155
1875,Dec,Submontane,LDH,58.4,72,46.8,0.5,1,69,0,720
1875,Dec,North,SLK,55.1,73,44.8,0.5,1,63,0,1462
1875,Dec,North,RWL,50.7,63.3,41,4.1,5,69,0,686
1875,Dec,West,PSH,NA,NA,NA,0.7,1,NA,0,320
1875,Dec,West,DIK,52.7,70.3,38.7,0.6,3,NA,0,540
1875,Dec,West,MLT,58.3,71.9,46.5,0.1,1,66,0,1266
1875,Dec,West,SRS,NA,NA,NA,0,0,NA,0,260
1876,Jan,Central,DLH,NA,72,NA,0,0,NA,0,731
1876,Jan,Central,LAH,54,67,42.4,0,0,62,2,1541
1876,Jan,Submontane,LDH,54.1,68.1,42.3,0,0,64,0,370
1876,Jan,North,SLK,51,68.1,41.1,0.5,1,72,0,809
1876,Jan,North,RWL,46.8,58.4,38.6,3.4,6,67,0,598
1876,Jan,West,PSH,NA,NA,NA,2.2,3,NA,0,272
1876,Jan,West,DIK,52.4,67.7,40.8,0.2,1,NA,0,510
1876,Jan,West,MLT,55.1,69.2,42.2,0,0,59,0,1253
1876,Jan,West,SRS,NA,NA,NA,0,0,NA,0,210
1876,Feb,Central,DLH,NA,78.4,NA,0.1,1,NA,1,593
1876,Feb,Central,LAH,57.8,71.2,45.6,0,0,52,2,964
1876,Feb,Submontane,LDH,57.4,72.3,44.4,0.6,1,60,0,252
1876,Feb,North,SLK,55.2,73.5,42.9,0.2,2,64,0,518
1876,Feb,North,RWL,49.8,62.2,40.2,1.9,5,61,0,463
1876,Feb,West,PSH,NA,NA,NA,0.8,2,NA,0,188
1876,Feb,West,DIK,NA,70.6,NA,0.3,2,NA,1,458
1876,Feb,West,MLT,59,74.9,46.3,0,0,51,0,850
1876,Feb,West,SRS,NA,76.3,NA,0,0,NA,0,282
1876,Mar,Central,DLH,NA,84.6,NA,1.3,2,NA,0,533
1876,Mar,Central,LAH,66.8,79.1,55.2,0.9,2,55,0,560
1876,Mar,Submontane,LDH,65.9,80.6,54.2,2.5,4,57,0,274
1876,Mar,North,SLK,63.9,82.1,52.1,2.1,4,62,0,492
1876,Mar,North,RWL,58.4,71.3,47.9,3.5,8,59,0,499
1876,Mar,West,PSH,NA,NA,NA,2.8,5,NA,0,247
1876,Mar,West,DIK,NA,77.7,NA,1,5,NA,0,390
1876,Mar,West,MLT,68.9,86.4,57.2,0,0,51,0,829
1876,Mar,West,SRS,NA,84.7,NA,0.6,2,NA,0,277
1876,Apr,Central,DLH,81.9,98.6,68.8,0,0,NA,1,589
1876,Apr,Central,LAH,78.8,93.9,63.1,0.6,1,33,2,442
1876,Apr,Submontane,LDH,77.6,94.2,62.9,1.9,1,42,0,288
1876,Apr,North,SLK,74.9,96.6,60.1,1.5,1,39,0,379
1876,Apr,North,RWL,69.4,85.7,55.7,2.8,3,55,0,555
1876,Apr,West,PSH,NA,84.8,57.1,1.2,2,NA,0,329
1876,Apr,West,DIK,76.3,92.6,62.6,1.3,1,39,0,316
1876,Apr,West,MLT,79.7,99.3,63.9,0,0,33,0,730
1876,Apr,West,SRS,NA,98.8,NA,0.2,1,NA,0,208
1876,May,Central,DLH,91,105.8,80.1,2.6,4,48,0,532
1876,May,Central,LAH,89.6,103.9,75.1,0.3,1,32,0,718
1876,May,Submontane,LDH,86.7,103.6,73.6,0.9,2,50,1,366
1876,May,North,SLK,85.7,106.5,72.9,1.5,1,33,0,598
1876,May,North,RWL,80.6,97.4,67.6,1.5,3,52,0,579
1876,May,West,PSH,NA,99,69.5,0,0,NA,0,406
1876,May,West,DIK,88,102.9,75.3,0,0,33,0,276
1876,May,West,MLT,90.4,113.7,75.5,0,0,32,0,557
1876,May,West,SRS,NA,107.7,NA,1.1,2,NA,0,161
1876,Jun,Central,DLH,94.7,108.2,84.7,2.5,2,NA,0,546
1876,Jun,Central,LAH,93.9,107.8,80.8,0.7,1,34,2,757
1876,Jun,Submontane,LDH,93.4,108.4,80.7,0.1,1,54,0,471
1876,Jun,North,SLK,91.9,111.7,78.4,1.3,1,30,0,568
1876,Jun,North,RWL,85.8,102.9,72.4,1.2,4,48,2,580
1876,Jun,West,PSH,NA,103,73.4,0.5,1,NA,0,344
1876,Jun,West,DIK,90,105.2,78.4,1.5,3,45,0,257
1876,Jun,West,MLT,92.6,110.1,80.8,1.3,4,45,0,507
1876,Jun,West,SRS,NA,108.3,NA,1.2,2,NA,1,117
1876,Jul,Central,DLH,NA,93.7,NA,4.6,9,NA,0,459
1876,Jul,Central,LAH,86.3,94.6,80.1,14.5,10,73,119,798
1876,Jul,Submontane,LDH,86,95.5,80.6,5.2,5,69,1,327
1876,Jul,North,SLK,85.5,95.3,79.7,32,12,73,0,522
1876,Jul,North,RWL,85.2,96.2,78.7,10,9,73,109,633
1876,Jul,West,PSH,NA,100.3,79.1,2.1,4,NA,0,285
1876,Jul,West,DIK,91.5,102.8,83.3,1,2,63,9,276
1876,Jul,West,MLT,91.2,105.1,82.7,3.5,4,54,0,419
1876,Jul,West,SRS,NA,97.3,NA,6,9,NA,0,126
1876,Aug,Central,DLH,NA,93.8,NA,0.6,3,NA,0,464
1876,Aug,Central,LAH,86.6,95.6,79.5,1.9,4,70,474,1191
1876,Aug,Submontane,LDH,84.7,92.7,79.4,1.4,4,72,0,431
1876,Aug,North,SLK,83.1,91.4,77.8,5.1,4,78,42,1265
1876,Aug,North,RWL,82.9,92.1,77.1,5.8,11,82,343,695
1876,Aug,West,PSH,NA,96.5,78.2,2.8,6,NA,0,173
1876,Aug,West,DIK,88.7,98.3,81.3,2.4,3,69,0,168
1876,Aug,West,MLT,87.8,102.4,80.4,0.9,2,61,0,381
1876,Aug,West,SRS,NA,99.1,NA,0,0,NA,0,144
1876,Sep,Central,DLH,82.1,91.7,76.7,5.3,5,71,0,890
1876,Sep,Central,LAH,83.3,93.9,74.1,1.5,5,64,117,2333
1876,Sep,Submontane,LDH,82,93.8,74.2,1.3,4,63,0,1591
1876,Sep,North,SLK,80.9,91.7,73.2,5.8,5,69,388,6657
1876,Sep,North,RWL,78.4,91.8,67.7,1.5,5,69,160,787
1876,Sep,West,PSH,NA,93.5,67.4,0.3,1,NA,61,234
1876,Sep,West,DIK,84.3,97,73.4,0.4,2,59,32,320
1876,Sep,West,MLT,85.8,100.2,74.2,0,0,58,0,645
1876,Sep,West,SRS,NA,94.3,NA,4.6,6,NA,0,221
1876,Oct,Central,DLH,75.9,87.4,66,1.9,2,58,0,868
1876,Oct,Central,LAH,73.7,86.1,61.8,1.1,3,63,4,4239
1876,Oct,Submontane,LDH,73.2,87.3,61.6,0.7,2,60,0,2829
1876,Oct,North,SLK,72,83.6,64.1,0.6,4,64,33,11326
1876,Oct,North,RWL,67.1,83,56.2,1.3,5,67,11,1033
1876,Oct,West,PSH,NA,82.8,57.7,1,4,NA,510,481
1876,Oct,West,DIK,74.1,86.5,63.7,1.2,1,62,117,503
1876,Oct,West,MLT,77.7,91.5,66.2,0,0,55,32,1137
1876,Oct,West,SRS,NA,89,NA,3.8,2,NA,0,367
1876,Nov,Central,DLH,68.5,81.8,57.1,0,0,44,0,844
1876,Nov,Central,LAH,64.5,79.4,51.7,0,0,59,0,2921
1876,Nov,Submontane,LDH,63.9,80.8,50.1,0,0,53,0,1772
1876,Nov,North,SLK,NA,77.2,NA,0,0,NA,0,6399
1876,Nov,North,RWL,55.6,77.1,44.2,2.3,4,68,1,905
1876,Nov,West,PSH,NA,73,46.9,1.6,2,NA,67,388
1876,Nov,West,DIK,63.5,78.3,51.9,0.4,1,60,81,638
1876,Nov,West,MLT,68.4,79.8,56.9,0.5,1,50,0,1176
1876,Nov,West,SRS,NA,82.9,NA,0,0,NA,0,297
1876,Dec,Central,DLH,60.7,74.7,48.4,0,0,44,0,874
1876,Dec,Central,LAH,55.6,72.7,41,0,0,61,0,2497
1876,Dec,Submontane,LDH,54.9,72.6,39.9,0,0,57,0,999
1876,Dec,North,SLK,53,69.6,41.3,0,0,69,0,3060
1876,Dec,North,RWL,49.5,68.2,37.2,0.3,1,70,0,741
1876,Dec,West,PSH,51.7,67.5,39.6,0,0,68,0,349
1876,Dec,West,DIK,56,73.3,41.8,0,0,57,0,709
1876,Dec,West,MLT,56.2,73.7,40.2,0,0,57,0,1390
1876,Dec,West,SRS,57,76.3,41.4,0,0,49,0,186
1877,Jan,Central,DLH,57.2,67.9,48.4,2.3,3,68,0,640
1877,Jan,Central,LAH,54.1,65.1,44,1.6,4,77,0,1447
1877,Jan,Submontane,LDH,NA,NA,NA,2,4,NA,0,502
1877,Jan,North,SLK,NA,64.9,NA,2.6,5,NA,0,1462
1877,Jan,North,RWL,48.7,61.9,40.4,4.8,6,79,0,626
1877,Jan,West,PSH,49.4,61.1,40.7,3.2,5,73,0,305
1877,Jan,West,DIK,53,65.9,43,1.9,4,71,0,500
1877,Jan,West,MLT,54.9,69.7,44.8,0.2,1,66,0,1023
1877,Jan,West,SRS,54.3,68,43.5,1.2,4,66,0,164
1877,Feb,Central,DLH,58.3,70,48.7,2.1,4,58,0,442
1877,Feb,Central,LAH,54.5,65.9,44,3.8,5,73,0,1133
1877,Feb,Submontane,LDH,53.8,66.1,43.4,2.3,4,69,1,379
1877,Feb,North,SLK,52.6,66.8,43.3,6,5,75,0,895
1877,Feb,North,RWL,47.2,60,38,5.4,7,76,0,530
1877,Feb,West,PSH,49,61.9,38.9,2.5,4,66,0,260
1877,Feb,West,DIK,53.8,66.4,43.2,2.2,5,65,0,412
1877,Feb,West,MLT,55.5,73,45.5,0.5,1,55,0,830
1877,Feb,West,SRS,56.1,70.1,43.6,0.5,2,56,0,138
1877,Mar,Central,DLH,71,84,60.7,0.2,1,53,0,635
1877,Mar,Central,LAH,67.5,79.2,55.9,0.6,4,61,0,961
1877,Mar,Submontane,LDH,66.2,80.4,55.6,2.5,3,61,0,387
1877,Mar,North,SLK,NA,78.1,NA,1,3,NA,0,835
1877,Mar,North,RWL,60.6,75.2,49.4,1.1,3,71,0,536
1877,Mar,West,PSH,60.8,74.9,49.4,1.1,1,62,0,286
1877,Mar,West,DIK,67.7,81.9,55.6,0,0,52,0,416
1877,Mar,West,MLT,68.7,84.7,57.8,0.7,1,54,0,812
1877,Mar,West,SRS,69.9,85,57.5,0.4,3,47,0,161
1877,Apr,Central,DLH,78.7,93,68.3,0.2,2,47,0,639
1877,Apr,Central,LAH,74.7,86.9,63.2,2.5,6,57,3,621
1877,Apr,Submontane,LDH,74.2,88.8,63.2,1.1,2,66,0,339
1877,Apr,North,SLK,NA,84.7,NA,7.3,4,NA,0,703
1877,Apr,North,RWL,66.1,79.3,56.7,4.7,9,72,0,526
1877,Apr,West,PSH,66.8,78.6,58.2,6.2,4,68,0,250
1877,Apr,West,DIK,71.8,84.1,63.3,1.8,6,61,0,360
1877,Apr,West,MLT,74.5,88.7,64.4,0.4,1,52,0,626
1877,Apr,West,SRS,77,92.6,64.7,0.8,4,45,0,156
1877,May,Central,DLH,88.1,100.8,77.7,0.3,3,42,0,682
1877,May,Central,LAH,85,97.7,72.6,0.4,3,45,1,985
1877,May,Submontane,LDH,83,98.3,70.8,0.5,1,44,0,518
1877,May,North,SLK,82.5,95.1,72.7,0.5,2,48,1,1060
1877,May,North,RWL,77.6,91.1,65.9,1.4,5,59,1,711
1877,May,West,PSH,78.9,93.3,67.4,0,0,49,0,350
1877,May,West,DIK,83.3,96.4,72.7,1.1,4,51,0,405
1877,May,West,MLT,86.3,99.7,75,1,1,48,0,578
1877,May,West,SRS,85.7,101.7,73.5,0.7,4,41,0,168
1877,Jun,Central,DLH,93.3,105.5,83.7,3.7,3,42,0,809
1877,Jun,Central,LAH,93.3,106.6,81.2,0,0,42,0,1133
1877,Jun,Submontane,LDH,91.1,105.2,79.5,1.3,2,41,0,805
1877,Jun,North,SLK,89.7,103.4,79.5,1.4,3,44,0,1358
1877,Jun,North,RWL,86.3,102.1,73,1.7,4,51,0,999
1877,Jun,West,PSH,85.4,102.5,72.8,0,0,42,0,437
1877,Jun,West,DIK,90.6,104.6,78.8,0.4,1,44,0,578
1877,Jun,West,MLT,93.7,108.6,82.3,0,0,44,0,664
1877,Jun,West,SRS,92.5,106.3,81.8,2.1,5,39,0,147
1877,Jul,Central,DLH,91.6,102.5,83.9,1.3,3,51,0,697
1877,Jul,Central,LAH,93.2,105.7,83,1.9,3,48,1,988
1877,Jul,Submontane,LDH,89.9,102.1,82.2,4.5,3,53,0,532
1877,Jul,North,SLK,90.5,102.1,81.5,2.1,6,52,0,1214
1877,Jul,North,RWL,88.6,102.9,76.2,3.1,5,54,0,889
1877,Jul,West,PSH,89.7,105.2,77.3,0,0,40,0,253
1877,Jul,West,DIK,NA,104.4,82.2,0.3,2,NA,0,358
1877,Jul,West,MLT,92,103.4,83.1,1.5,2,52,0,464
1877,Jul,West,SRS,93.1,103.7,84,2.2,4,47,0,155
1877,Aug,Central,DLH,93.7,105.2,84.7,0.1,1,46,0,599
1877,Aug,Central,LAH,93.8,106.8,81.4,0,0,42,0,854
1877,Aug,Submontane,LDH,90.4,102.4,80.8,2.8,2,51,0,668
1877,Aug,North,SLK,91.2,105.3,81.2,0.6,1,56,0,867
1877,Aug,North,RWL,87.8,103.3,75.1,2.1,2,55,0,677
1877,Aug,West,PSH,87.9,104.9,75.5,0,0,38,0,179
1877,Aug,West,DIK,NA,106.1,79.8,0,0,NA,0,271
1877,Aug,West,MLT,90.3,103.5,81,0,0,56,0,384
1877,Aug,West,SRS,94.9,107.3,84.7,0,0,38,1,126
1877,Sep,Central,DLH,90.4,102.7,80.8,0,0,40,0,520
1877,Sep,Central,LAH,87.5,101.4,75.5,1.6,3,52,0,887
1877,Sep,Submontane,LDH,84.6,97.5,74.2,12,2,56,0,609
1877,Sep,North,SLK,85.9,99.3,76.1,1.8,2,50,0,724
1877,Sep,North,RWL,80.7,99.8,68.5,1.7,4,59,0,646
1877,Sep,West,PSH,82.1,97.3,69.8,0,0,45,0,198
1877,Sep,West,DIK,86.4,101.1,74.5,0.1,1,50,0,363
1877,Sep,West,MLT,83.6,97.1,76.1,8.2,2,59,0,494
1877,Sep,West,SRS,87.9,101.6,76.9,2.1,1,43,0,104
1877,Oct,Central,DLH,78.7,89.7,69.6,5.3,4,49,0,522
1877,Oct,Central,LAH,76.1,91,63.3,0.5,1,53,0,1114
1877,Oct,Submontane,LDH,74.4,88.5,62.9,2.1,1,55,0,848
1877,Oct,North,SLK,74.8,87.7,64.6,0.5,3,58,0,850
1877,Oct,North,RWL,66.9,84.4,56.1,2.8,6,66,0,948
1877,Oct,West,PSH,69.2,83.7,58.6,0.4,2,57,0,256
1877,Oct,West,DIK,74.3,89.9,62,0.1,1,47,0,347
1877,Oct,West,MLT,73.8,87.5,64.5,0,0,58,0,584
1877,Oct,West,SRS,77.6,93.5,64.5,0,0,40,0,151
1877,Nov,Central,DLH,72.7,86.4,62.4,0,0,48,0,915
1877,Nov,Central,LAH,68.7,81.9,57.8,1.2,3,60,0,1300
1877,Nov,Submontane,LDH,67.8,81.8,56.2,0.8,1,58,0,980
1877,Nov,North,SLK,67.2,79.4,59.5,4.2,4,62,0,918
1877,Nov,North,RWL,59.4,71.4,51.6,4.5,9,79,0,1085
1877,Nov,West,PSH,60.5,73.3,52.6,8,9,79,0,279
1877,Nov,West,DIK,64.8,77.5,55.4,1.8,5,63,0,419
1877,Nov,West,MLT,65.5,78.6,57.4,0,0,49,0,747
1877,Nov,West,SRS,70.6,85.5,58.1,0.7,2,47,0,219
1877,Dec,Central,DLH,59.1,69.1,50.7,2.4,3,67,0,1265
1877,Dec,Central,LAH,54.9,65.2,46.4,2.5,4,79,0,1426
1877,Dec,Submontane,LDH,55.4,65.1,47.6,5.6,4,80,0,557
1877,Dec,North,SLK,54.8,63.4,48.5,4.4,3,81,0,954
1877,Dec,North,RWL,49.9,59.4,43.7,6.5,9,85,0,1132
1877,Dec,West,PSH,50.9,62.3,44.2,4.1,8,74,0,325
1877,Dec,West,DIK,5.7,64.4,45.6,2,5,72,0,580
1877,Dec,West,MLT,55.7,68.9,49.6,1.1,4,60,0,844
1877,Dec,West,SRS,56.5,68.5,46.7,3.2,3,66,0,241
1878,Jan,Central,DLH,55.4,66.6,45.8,1.1,1,59,0,772
1878,Jan,Central,LAH,51.3,64.2,40.8,0.1,1,71,0,1212
1878,Jan,Submontane,LDH,51.4,63,41.4,0.9,1,74,0,507
1878,Jan,North,SLK,51.4,62.2,43,0.5,1,78,0,1183
1878,Jan,North,RWL,46.5,59.2,36.4,0.9,3,77,0,974
1878,Jan,West,PSH,46.7,61.2,36.4,2,2,61,0,309
1878,Jan,West,DIK,50.9,65.6,39,0.2,1,61,0,491
1878,Jan,West,MLT,50.7,68,40,0,0,58,0,690
1878,Jan,West,SRS,52.9,67.4,40.6,0.1,1,56,0,194
1878,Feb,Central,DLH,63.8,74.2,55,1.2,2,61,0,620
1878,Feb,Central,LAH,57.8,67.5,49.3,2.1,8,72,1,1083
1878,Feb,Submontane,LDH,57.9,68.3,49.4,1.3,2,73,0,401
1878,Feb,North,SLK,56.4,66.3,49,3.6,7,81,2,1037
1878,Feb,North,RWL,50.6,60.9,42.6,4.5,6,82,0,754
1878,Feb,West,PSH,51.3,62.2,42.6,1.7,5,65,0,292
1878,Feb,West,DIK,56.1,68.2,47,1.6,5,66,0,450
1878,Feb,West,MLT,58.2,71.5,49.2,0.7,3,59,0,587
1878,Feb,West,SRS,61.1,74.3,50.4,0.5,3,58,0,184
1878,Mar,Central,DLH,75.1,89.4,62.6,0.1,1,37,0,777
1878,Mar,Central,LAH,71.3,85,58,0,0,51,0,985
1878,Mar,Submontane,LDH,68.7,84.5,55.1,0.3,1,52,0,432
1878,Mar,North,SLK,60.9,81.6,55.9,0.2,1,59,0,1166
1878,Mar,North,RWL,61.9,75.7,50.3,0.4,3,64,0,717
1878,Mar,West,PSH,62,76.7,50.4,0.1,1,55,0,279
1878,Mar,West,DIK,68.6,82.9,56.7,0.2,1,52,0,516
1878,Mar,West,MLT,72.7,89.4,59.6,0,0,51,0,530
1878,Mar,West,SRS,72.7,89.8,57.8,0,0,37,0,264
1878,Apr,Central,DLH,81.8,95.2,71.8,1.5,3,41,0,905
1878,Apr,Central,LAH,79,92,66.5,1.2,3,50,0,914
1878,Apr,Submontane,LDH,76.6,91.1,66.4,3.5,2,55,0,512
1878,Apr,North,SLK,75.7,89,66.5,1.9,5,54,0,1203
1878,Apr,North,RWL,69.4,81.6,58.8,6.8,5,68,0,845
1878,Apr,West,PSH,68.5,81.5,58.7,2.8,6,63,0,345
1878,Apr,West,DIK,74.8,87.8,64.2,2.8,4,56,0,436
1878,Apr,West,MLT,78.3,95.4,66.5,0.5,3,52,0,431
1878,Apr,West,SRS,79.3,94,67.5,3.4,3,42,0,247
1878,May,Central,DLH,84,96.5,74,0.8,3,46,0,1019
1878,May,Central,LAH,83.3,96,70.8,1,6,48,0,1378
1878,May,Submontane,LDH,81.5,93.9,73.8,2.3,4,51,0,808
1878,May,North,SLK,79.5,92.8,69.9,1.5,4,50,0,1703
1878,May,North,RWL,74.3,87.9,63.6,5,10,62,0,1477
1878,May,West,PSH,75.6,89.9,65.2,4.4,3,56,0,539
1878,May,West,DIK,82.9,96.3,72.5,1.1,3,50,0,524
1878,May,West,MLT,84.7,102.1,76.6,0.2,2,53,0,520
1878,May,West,SRS,83.6,97.7,72.7,3.5,7,46,0,269
1878,Jun,Central,DLH,95.5,108.4,86.1,0.4,1,33,2,1557
1878,Jun,Central,LAH,94.9,109.5,81.3,0.4,3,34,0,1362
1878,Jun,Submontane,LDH,93.9,107.5,83.4,0.2,1,39,0,848
1878,Jun,North,SLK,91.3,106,79.9,2,4,39,0,1101
1878,Jun,North,RWL,85.3,101.7,71.6,0.7,2,56,0,1502
1878,Jun,West,PSH,85.8,102.2,72.7,0,0,37,0,705
1878,Jun,West,DIK,90.1,105.2,78.4,1.5,2,43,0,466
1878,Jun,West,MLT,91.1,107.2,79.9,0.4,2,49,0,527
1878,Jun,West,SRS,92.3,107.7,81.9,1.6,3,39,0,281
1878,Jul,Central,DLH,89.2,98.4,83,13.6,3,63,16,868
1878,Jul,Central,LAH,89.3,98.6,80.8,4.9,6,63,0,1046
1878,Jul,Submontane,LDH,87.7,96.7,82.1,9.2,7,66,0,639
