Year,Month,Met region,Station ,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mtotal,Mmille,Mch,Mfv
1875,May,East Coast Central,MSL,87.20,97.10,81.50,0.25,2.00,74.00,,,,
1875,May,Central,BLL,87.80,102.50,76.80,2.02,7.00,44.00,,,,
1875,May,East Coast North,VZG,86.60,89.30,84.10,1.90,7.00,71.00,,,,
1875,Jun,South,MDR,83.50,95.90,74.90,8.20,4.00,65.00,,,,
1875,Jun,South Central,SLM,82.90,95.30,74.80,2.39,8.00,66.00,,,,
1875,Jun,South Central,CMB,77.50,88.10,71.20,2.73,9.00,73.00,,,,
1875,Jun,East Coast South,NGP,85.20,96.20,78.90,0.82,3.00,66.00,,,,
1875,Jun,East Coast South,TRC,85.90,98.70,78.40,2.19,5.00,58.00,,,,
1875,Jun,East Coast South,MDS,87.40,99.30,81.20,0.86,5.00,60.00,,,,
1875,Jun,East Coast Central,MSL,86.80,97.20,81.10,2.21,12.00,69.00,,,,
1875,Jun,Central,BLL,82.40,94.20,75.70,4.84,9.00,61.00,,,,
1875,Jun,East Coast North,VZG,87.90,90.10,84.50,1.10,4.00,68.00,,,,
1875,Jul,South,MDR,83.50,95.90,75.20,2.82,4.00,61.00,,,,
1875,Jul,South Central,SLM,81.20,93.80,73.40,4.35,10.00,68.00,,,,
1875,Jul,South Central,CMB,76.10,86.70,70.20,1.34,5.00,75.00,,,,
1875,Jul,East Coast South,NGP,85.40,98.30,79.10,0.44,3.00,61.00,,,,
1875,Jul,East Coast South,TRC,86.00,97.50,78.70,0.02,1.00,54.00,,,,
1875,Jul,East Coast South,MDS,86.40,99.10,80.30,1.76,12.00,59.00,,,,
1875,Jul,East Coast Central,MSL,83.10,91.80,77.60,6.70,22.00,76.00,,,,
1875,Jul,Central,BLL,80.60,91.40,74.40,1.86,8.00,63.00,,,,
1875,Jul,East Coast North,VZG,85.10,88.40,82.60,0.85,6.00,69.00,,,,
1875,Aug,South,MDR,82.50,95.40,74.40,8.66,8.00,66.00,,,,
1875,Aug,South Central,SLM,81.30,93.30,73.50,4.40,14.00,68.00,,,,
1875,Aug,South Central,CMB,76.60,87.60,70.20,0.20,4.00,75.00,,,,
1875,Aug,East Coast South,NGP,82.70,93.50,77.00,6.87,9.00,72.00,,,,
1875,Aug,East Coast South,TRC,84.40,96.40,76.70,6.18,10.00,59.00,,,,
1875,Aug,East Coast South,MDS,82.80,93.50,76.70,7.04,13.00,72.00,,,,
1875,Aug,East Coast Central,MSL,83.40,91.60,77.20,8.66,16.00,77.00,,,,
1875,Aug,Central,BLL,81.00,92.50,73.60,2.32,11.00,61.00,,,,
1875,Aug,East Coast North,VZG,85.30,88.00,83.00,3.30,7.00,71.00,,,,
1875,Sep,South,MDR,83.40,96.50,74.50,2.46,5.00,63.00,,,,
1875,Sep,South Central,SLM,82.40,94.10,73.90,4.82,8.00,63.00,,,,
1875,Sep,South Central,CMB,77.70,89.50,70.30,0.42,5.00,71.00,,,,
1875,Sep,East Coast South,NGP,82.90,93.40,77.20,4.87,10.00,71.00,,,,
1875,Sep,East Coast South,TRC,84.30,95.90,76.70,6.04,6.00,61.00,,,,
1875,Sep,East Coast South,MDS,82.80,92.90,76.70,4.60,14.00,72.00,,,,
1875,Sep,East Coast Central,MSL,81.50,89.20,77.00,10.55,22.00,82.00,,,,
1875,Sep,Central,BLL,79.80,90.50,72.80,3.64,11.00,65.00,,,,
1875,Sep,East Coast North,VZG,83.40,85.70,81.40,9.90,11.00,77.00,,,,
1875,Oct,South,MDR,78.90,89.80,72.00,19.45,19.00,78.00,,,,
1875,Oct,South Central,SLM,78.70,89.00,72.40,14.85,13.00,79.00,,,,
1875,Oct,South Central,CMB,75.90,87.30,70.00,11.26,18.00,79.00,,,,
1875,Oct,East Coast South,NGP,80.10,87.60,75.40,6.84,19.00,81.00,,,,
1875,Oct,East Coast South,TRC,79.70,89.40,73.60,5.45,13.00,77.00,,,,
1875,Oct,East Coast South,MDS,79.30,86.50,75.00,6.47,17.00,83.00,,,,
1875,Oct,East Coast Central,MSL,80.30,86.40,75.50,12.84,14.00,82.00,,,,
1875,Oct,Central,BLL,78.60,90.20,70.50,3.66,9.00,62.00,,,,
1875,Oct,East Coast North,VZG,82.50,84.70,80.20,9.00,10.00,73.00,,,,
1875,Nov,South,MDR,78.60,87.30,71.40,2.66,4.00,75.00,,,,
1875,Nov,South Central,SLM,77.60,88.00,69.60,1.20,4.00,72.00,,,,
1875,Nov,South Central,CMB,75.20,85.60,68.10,1.59,10.00,72.00,,,,
1875,Nov,East Coast South,NGP,78.70,83.80,74.40,14.32,21.00,80.00,,,,
1875,Nov,East Coast South,TRC,77.90,86.80,72.10,2.15,8.00,78.00,,,,
1875,Nov,East Coast South,MDS,78.10,85.70,72.80,11.19,16.00,78.00,,,,
1875,Nov,East Coast Central,MSL,77.20,83.60,70.80,1.04,3.00,76.00,,,,
1875,Nov,Central,BLL,75.70,88.70,65.30,0.00,0.00,57.00,,,,
1875,Nov,East Coast North,VZG,78.30,81.20,74.40,0.10,1.00,60.00,,,,
1875,Dec,South,MDR,76.40,86.60,68.20,0.73,2.00,72.00,,,,
1875,Dec,South Central,SLM,75.20,87.00,65.00,0.00,0.00,65.00,,,,
1875,Dec,South Central,CMB,72.60,85.30,62.70,0.33,3.00,69.00,,,,
1875,Dec,East Coast South,NGP,77.30,82.30,72.80,4.15,4.00,74.00,,,,
1875,Dec,East Coast South,TRC,75.70,85.80,67.80,1.03,3.00,73.00,,,,
1875,Dec,East Coast South,MDS,75.40,84.00,69.30,3.18,12.00,77.00,,,,
1875,Dec,East Coast Central,MSL,74.40,82.30,66.80,0.30,3.00,76.00,,,,
1875,Dec,Central,BLL,72.70,87.40,61.10,0.00,0.00,54.00,,,,
1875,Dec,East Coast North,VZG,74.90,78.50,70.50,0.10,1.00,62.00,,,,
1876,Jan,South,MDR,76.00,88.90,65.70,0.00,0.00,66.00,2916.00,,737.00,967.00
1876,Jan,South Central,SLM,75.80,89.60,63.50,0.00,0.00,55.00,4554.00,,1583.00,1628.00
1876,Jan,South Central,CMB,72.90,89.40,61.10,0.00,0.00,58.00,2679.00,,613.00,957.00
1876,Jan,East Coast South,NGP,76.30,83.80,70.10,0.00,0.00,72.00,4610.00,,1227.00,391.00
1876,Jan,East Coast South,TRC,75.80,89.00,65.90,0.00,0.00,65.00,2415.00,,522.00,627.00
1876,Jan,East Coast South,MDS,74.10,84.70,65.30,0.10,1.00,72.00,1282.00,,166.00,213.00
1876,Jan,East Coast Central,MSL,73.80,83.60,64.00,0.00,0.00,72.00,2048.00,,199.00,893.00
1876,Jan,Central,BLL,72.70,88.80,59.20,0.00,0.00,45.00,3257.00,,150.00,1016.00
1876,Jan,East Coast North,VZG,74.90,79.00,69.50,0.00,0.00,63.00,1915.00,,0.00,1550.00
1876,Feb,South,MDR,77.90,92.70,64.80,0.00,0.00,56.00,2212.00,,438.00,749.00
1876,Feb,South Central,SLM,78.00,94.40,63.40,0.00,0.00,49.00,4175.00,,1487.00,1528.00
1876,Feb,South Central,CMB,75.30,91.70,61.80,0.00,0.00,52.00,2039.00,,292.00,827.00
1876,Feb,East Coast South,NGP,77.10,84.40,70.10,0.00,0.00,64.00,5160.00,,1359.00,498.00
1876,Feb,East Coast South,TRC,77.40,92.10,65.60,0.00,0.00,60.00,2274.00,,617.00,552.00
1876,Feb,East Coast South,MDS,74.20,85.70,63.60,0.00,0.00,70.00,1237.00,,194.00,218.00
1876,Feb,East Coast Central,MSL,75.50,86.10,65.50,0.00,0.00,73.00,1725.00,,279.00,692.00
1876,Feb,Central,BLL,77.60,94.70,62.50,0.00,0.00,30.00,4121.00,,696.00,1093.00
1876,Feb,East Coast North,VZG,78.50,82.50,74.00,0.00,0.00,64.00,1881.00,,7.00,1418.00
1876,Mar,South,MDR,83.40,98.00,72.30,1.00,1.00,58.00,1805.00,,256.00,626.00
1876,Mar,South Central,SLM,86.00,100.80,74.50,0.90,3.00,52.00,3710.00,,1316.00,1358.00
1876,Mar,South Central,CMB,82.10,98.00,71.10,1.10,3.00,61.00,1625.00,,102.00,729.00
1876,Mar,East Coast South,NGP,82.40,90.50,75.90,0.10,1.00,73.00,3167.00,,318.00,338.00
1876,Mar,East Coast South,TRC,85.70,99.50,74.90,0.20,1.00,54.00,1934.00,,298.00,551.00
1876,Mar,East Coast South,MDS,81.60,90.80,74.10,0.00,0.00,74.00,1169.00,,122.00,189.00
1876,Mar,East Coast Central,MSL,82.20,92.40,74.50,0.00,0.00,76.00,1411.00,,62.00,620.00
1876,Mar,Central,BLL,86.20,100.80,75.30,1.60,3.00,35.00,4881.00,,1617.00,1002.00
1876,Mar,East Coast North,VZG,83.80,86.70,81.00,0.00,0.00,70.00,1387.00,,30.00,1031.00
1876,Apr,South,MDR,88.00,101.60,77.10,0.50,1.00,54.00,1620.00,,145.00,653.00
1876,Apr,South Central,SLM,88.50,103.20,77.80,1.00,3.00,53.00,4665.00,,2395.00,1223.00
1876,Apr,South Central,CMB,83.60,99.20,73.90,2.60,6.00,63.00,1685.00,,40.00,795.00
1876,Apr,East Coast South,NGP,85.80,93.80,79.90,0.30,1.00,73.00,3018.00,,126.00,389.00
1876,Apr,East Coast South,TRC,89.80,103.50,79.70,0.00,0.00,50.00,1869.00,,224.00,590.00
1876,Apr,East Coast South,MDS,84.80,93.40,78.40,0.70,1.00,74.00,1043.00,,116.00,162.00
1876,Apr,East Coast Central,MSL,85.30,94.90,78.50,0.00,0.00,76.00,1401.00,,74.00,612.00
1876,Apr,Central,BLL,90.20,105.60,77.60,1.70,6.00,34.00,5548.00,,2282.00,864.00
1876,Apr,East Coast North,VZG,86.50,89.10,83.90,0.00,0.00,71.00,1617.00,,11.00,1221.00
1876,May,South,MDR,85.70,100.00,75.10,2.30,10.00,62.00,1658.00,,103.00,694.00
1876,May,South Central,SLM,84.90,97.30,75.70,6.20,12.00,68.00,4065.00,,1554.00,1345.00
1876,May,South Central,CMB,80.10,93.50,72.10,4.40,8.00,73.00,1755.00,,89.00,796.00
1876,May,East Coast South,NGP,86.10,97.90,80.10,1.60,5.00,68.00,3598.00,,414.00,375.00
1876,May,East Coast South,TRC,87.60,101.10,79.00,2.90,6.00,58.00,2126.00,,300.00,640.00
1876,May,East Coast South,MDS,87.50,100.60,81.50,1.20,5.00,64.00,1156.00,,148.00,179.00
1876,May,East Coast Central,MSL,88.70,100.40,82.40,1.40,5.00,71.00,2376.00,,674.00,814.00
1876,May,Central,BLL,89.40,103.60,77.80,1.00,4.00,43.00,4457.00,,1505.00,730.00
1876,May,East Coast North,VZG,88.40,90.60,86.30,1.50,3.00,72.00,1358.00,,9.00,1016.00
1876,Jun,South,MDR,85.80,99.90,75.70,1.00,2.00,60.00,1826.00,,53.00,808.00
1876,Jun,South Central,SLM,84.50,98.30,76.20,2.00,6.00,61.00,3135.00,,613.00,1362.00
1876,Jun,South Central,CMB,79.20,93.60,71.50,0.40,3.00,71.00,2082.00,,212.00,978.00
1876,Jun,East Coast South,NGP,86.60,99.40,80.20,0.50,3.00,61.00,4553.00,,1051.00,434.00
1876,Jun,East Coast South,TRC,87.60,100.30,79.30,0.20,2.00,52.00,2594.00,,708.00,638.00
1876,Jun,East Coast South,MDS,86.50,99.20,80.30,3.10,14.00,63.00,1161.00,,165.00,168.00
1876,Jun,East Coast Central,MSL,88.00,97.60,81.60,3.30,7.00,66.00,3266.00,,1512.00,810.00
1876,Jun,Central,BLL,84.10,95.80,76.20,1.30,5.00,59.00,5077.00,,2229.00,611.00
1876,Jun,East Coast North,VZG,87.90,90.50,85.50,2.00,6.00,69.00,2213.00,,48.00,1873.00
1876,Jul,South,MDR,85.60,98.20,76.40,1.00,3.00,53.00,1874.00,,21.00,905.00
1876,Jul,South Central,SLM,81.40,94.70,73.90,4.70,16.00,67.00,3169.00,,411.00,1449.00
1876,Jul,South Central,CMB,76.90,90.20,70.40,2.30,5.00,71.00,2056.00,,119.00,931.00
1876,Jul,East Coast South,NGP,86.00,99.40,79.80,0.40,3.00,58.00,5866.00,,1808.00,516.00
1876,Jul,East Coast South,TRC,86.40,99.00,78.70,2.30,2.00,52.00,2535.00,,525.00,675.00
1876,Jul,East Coast South,MDS,84.90,97.60,78.80,3.80,16.00,64.00,1186.00,,231.00,144.00
1876,Jul,East Coast Central,MSL,85.60,94.90,79.30,4.70,13.00,65.00,4391.00,,2159.00,1079.00
1876,Jul,Central,BLL,81.20,91.80,75.10,0.20,4.00,61.00,5330.00,,1970.00,705.00
1876,Jul,East Coast North,VZG,85.80,89.00,83.20,3.80,7.00,69.00,2306.00,,351.00,1578.00
1876,Aug,South,MDR,83.90,95.30,73.70,4.30,10.00,63.00,1693.00,,0.00,809.00
1876,Aug,South Central,SLM,81.00,91.90,73.60,4.80,14.00,73.00,2788.00,,293.00,1316.00
1876,Aug,South Central,CMB,75.90,87.90,69.80,3.10,7.00,77.00,1961.00,,73.00,897.00
1876,Aug,East Coast South,NGP,83.00,93.50,76.70,3.90,15.00,70.00,4139.00,,481.00,423.00
1876,Aug,East Coast South,TRC,83.70,94.70,76.10,4.40,7.00,61.00,2387.00,,406.00,610.00
1876,Aug,East Coast South,MDS,83.90,95.60,77.50,3.00,13.00,68.00,1276.00,,240.00,150.00
1876,Aug,East Coast Central,MSL,83.00,91.30,77.50,15.40,19.00,76.00,3075.00,,874.00,1058.00
1876,Aug,Central,BLL,81.10,92.80,73.70,1.10,6.00,59.00,4380.00,,1010.00,749.00
1876,Aug,East Coast North,VZG,85.00,86.90,83.20,5.60,13.00,74.00,2077.00,,299.00,1277.00
1876,Sep,South,MDR,84.40,98.00,74.90,1.90,5.00,59.00,1805.00,,63.00,819.00
1876,Sep,South Central,SLM,81.70,94.00,72.60,6.50,9.00,68.00,2590.00,,152.00,1254.00
1876,Sep,South Central,CMB,76.50,90.50,69.10,1.80,7.00,75.00,1944.00,,22.00,901.00
1876,Sep,East Coast South,NGP,84.00,94.90,77.30,0.20,3.00,67.00,4127.00,,201.00,456.00
1876,Sep,East Coast South,TRC,84.00,95.70,75.40,5.00,5.00,60.00,1940.00,,30.00,632.00
1876,Sep,East Coast South,MDS,84.40,96.20,78.50,3.30,9.00,67.00,1106.00,,61.00,219.00
1876,Sep,East Coast Central,MSL,83.10,92.40,78.20,5.10,16.00,75.00,2331.00,,387.00,908.00
1876,Sep,Central,BLL,81.60,93.20,72.90,1.10,4.00,56.00,3490.00,,305.00,730.00
1876,Sep,East Coast North,VZG,83.80,86.10,81.80,6.40,13.00,77.00,1538.00,,245.00,998.00
1876,Oct,South,MDR,82.40,94.20,73.80,3.60,5.00,67.00,1819.00,,46.00,823.00
1876,Oct,South Central,SLM,82.30,95.20,72.50,0.10,1.00,66.00,2507.00,,124.00,1239.00
1876,Oct,South Central,CMB,78.20,92.10,70.10,1.70,9.00,72.00,1976.00,,9.00,915.00
1876,Oct,East Coast South,NGP,82.60,90.60,76.50,2.60,8.00,71.00,3881.00,,112.00,418.00
1876,Oct,East Coast South,TRC,83.00,94.90,74.60,0.20,2.00,63.00,2003.00,,70.00,637.00
1876,Oct,East Coast South,MDS,82.40,92.30,75.50,1.00,6.00,68.00,1113.00,,30.00,218.00
1876,Oct,East Coast Central,MSL,82.00,91.00,74.70,0.00,1.00,67.00,1786.00,,120.00,756.00
1876,Oct,Central,BLL,83.30,95.80,72.60,0.00,0.00,37.00,3022.00,,166.00,724.00
1876,Oct,East Coast North,VZG,82.00,84.10,79.10,19.20,6.00,69.00,2099.00,,125.00,1665.00
1876,Nov,South,MDR,80.30,91.30,71.50,0.90,3.00,61.00,1940.00,,140.00,855.00
1876,Nov,South Central,SLM,79.10,92.50,68.70,0.30,2.00,64.00,3428.00,,903.00,1284.00
1876,Nov,South Central,CMB,76.10,90.40,67.20,1.60,5.00,66.00,2274.00,,321.00,973.00
1876,Nov,East Coast South,NGP,78.30,84.00,72.60,11.10,11.00,74.00,3803.00,,55.00,387.00
1876,Nov,East Coast South,TRC,78.60,89.00,70.90,2.10,3.00,68.00,2117.00,,148.00,600.00
1876,Nov,East Coast South,MDS,77.40,86.60,69.70,5.30,5.00,70.00,1129.00,,98.00,204.00
1876,Nov,East Coast Central,MSL,76.90,86.90,68.00,0.00,0.00,65.00,2731.00,,17.00,1446.00
1876,Nov,Central,BLL,77.20,90.70,64.30,0.10,1.00,39.00,4867.00,,1344.00,799.00
1876,Nov,East Coast North,VZG,77.90,80.90,74.00,2.30,2.00,60.00,1807.00,,128.00,1348.00
1876,Dec,South,MDR,76.60,87.90,67.70,1.30,2.00,62.00,2817.00,,701.00,982.00
1876,Dec,South Central,SLM,76.30,88.60,66.10,0.20,1.00,63.00,6975.00,,3928.00,1538.00
1876,Dec,South Central,CMB,72.60,86.60,62.60,0.30,2.00,64.00,4282.00,,2157.00,974.00
1876,Dec,East Coast South,NGP,75.50,81.10,70.00,9.60,7.00,73.00,4777.00,,863.00,379.00
1876,Dec,East Coast South,TRC,76.40,86.20,68.10,3.10,3.00,65.00,3801.00,,1426.00,696.00
1876,Dec,East Coast South,MDS,74.80,83.90,66.70,0.10,3.00,68.00,2010.00,,464.00,245.00
1876,Dec,East Coast Central,MSL,73.20,83.10,63.80,0.00,0.00,71.00,2675.00,,370.00,1241.00
1876,Dec,Central,BLL,72.60,87.20,60.00,0.00,0.00,44.00,7393.00,,2858.00,980.00
1876,Dec,East Coast North,VZG,73.30,76.90,68.30,0.00,0.00,61.00,2058.00,,20.00,1752.00
1877,Jan,South,MDR,78.30,89.40,68.70,0.00,0.00,59.00,3728.00,,1680.00,909.00
1877,Jan,South Central,SLM,77.70,90.80,66.70,0.00,0.00,58.00,10212.00,,6788.00,1588.00
1877,Jan,South Central,CMB,74.10,89.10,63.70,0.00,0.00,57.00,4987.00,,3032.00,865.00
1877,Jan,East Coast South,NGP,76.60,82.30,71.40,0.67,6.00,71.00,6843.00,,2982.00,362.00
1877,Jan,East Coast South,TRC,76.30,88.10,67.60,0.00,0.00,62.00,4479.00,,2374.00,563.00
1877,Jan,East Coast South,MDS,75.90,85.40,67.80,0.01,1.00,68.00,3962.00,,1596.00,311.00
1877,Jan,East Coast Central,MSL,74.70,83.40,67.20,0.40,1.00,73.00,3413.00,,1472.00,895.00
1877,Jan,Central,BLL,74.30,88.00,62.40,0.00,0.00,40.00,9322.00,,4191.00,1163.00
1877,Jan,East Coast North,VZG,75.40,78.10,71.70,1.60,2.00,69.00,1792.00,,48.00,1408.00
1877,Feb,South,MDR,81.70,94.90,70.60,0.00,0.00,55.00,2549.00,,914.00,654.00
1877,Feb,South Central,SLM,82.10,96.20,70.70,0.00,0.00,50.00,10381.00,,7158.00,1493.00
1877,Feb,South Central,CMB,78.20,94.80,67.00,0.00,0.00,58.00,5797.00,,3990.00,769.00
1877,Feb,East Coast South,NGP,79.30,85.70,73.60,0.00,0.00,66.00,4086.00,,905.00,321.00
1877,Feb,East Coast South,TRC,80.50,93.80,70.40,0.00,0.00,57.00,2239.00,,619.00,469.00
1877,Feb,East Coast South,MDS,78.70,87.60,70.90,0.00,0.00,66.00,4265.00,,1099.00,397.00
1877,Feb,East Coast Central,MSL,78.40,86.70,73.20,0.08,1.00,73.00,4049.00,,2529.00,665.00
1877,Feb,Central,BLL,80.30,93.90,67.70,0.00,0.00,37.00,12905.00,,6953.00,1225.00
1877,Feb,East Coast North,VZG,78.40,80.70,75.80,1.60,5.00,72.00,2564.00,,663.00,1333.00
1877,Mar,South,MDR,82.90,96.70,72.30,0.47,2.00,56.00,2996.00,,1069.00,705.00
1877,Mar,South Central,SLM,83.80,98.10,71.80,2.70,3.00,46.00,12913.00,,8523.00,2043.00
1877,Mar,South Central,CMB,80.30,96.80,69.10,0.56,3.00,54.00,5095.00,,3093.00,945.00
1877,Mar,East Coast South,NGP,81.40,88.40,75.50,0.00,0.00,66.00,3836.00,,755.00,283.00
1877,Mar,East Coast South,TRC,83.20,97.10,72.10,0.04,1.00,53.00,2884.00,,993.00,549.00
1877,Mar,East Coast South,MDS,79.80,89.10,71.70,0.03,1.00,68.00,4893.00,,626.00,540.00
1877,Mar,East Coast Central,MSL,80.40,90.60,72.50,0.83,4.00,70.00,3488.00,,1917.00,696.00
1877,Mar,Central,BLL,85.40,99.70,73.10,0.00,0.00,26.00,13968.00,,6945.00,1397.00
1877,Mar,East Coast North,VZG,82.50,85.30,79.20,1.60,2.00,69.00,2765.00,,920.00,1395.00
1877,Apr,South,MDR,87.00,100.80,77.90,0.13,1.00,57.00,2983.00,,1075.00,711.00
1877,Apr,South Central,SLM,87.80,101.90,77.70,0.05,1.00,51.00,11934.00,,6875.00,2091.00
1877,Apr,South Central,CMB,83.80,99.30,74.20,0.55,3.00,57.00,6008.00,,3926.00,922.00
1877,Apr,East Coast South,NGP,84.60,91.80,79.50,0.00,0.00,73.00,3859.00,,487.00,328.00
1877,Apr,East Coast South,TRC,87.60,100.70,78.70,0.52,1.00,52.00,3173.00,,1170.00,524.00
1877,Apr,East Coast South,MDS,83.30,91.60,76.50,0.00,0.00,68.00,3963.00,,449.00,440.00
1877,Apr,East Coast Central,MSL,83.90,94.30,77.30,0.00,0.00,69.00,2116.00,,559.00,686.00
1877,Apr,Central,BLL,88.70,102.90,77.20,2.50,3.00,31.00,9994.00,,3415.00,1314.00
1877,Apr,East Coast North,VZG,85.50,87.90,82.60,0.00,0.00,69.00,1800.00,,351.00,1131.00
1877,May,South,MDR,85.80,99.70,76.70,2.50,6.00,60.00,5231.00,,2519.00,1158.00
1877,May,South Central,SLM,86.30,100.00,77.00,3.76,8.00,57.00,15214.00,,7329.00,3509.00
1877,May,South Central,CMB,82.60,98.40,74.20,2.42,6.00,61.00,8732.00,,6180.00,1055.00
1877,May,East Coast South,NGP,84.90,93.90,79.00,4.41,4.00,72.00,5040.00,,1116.00,397.00
1877,May,East Coast South,TRC,87.40,100.00,78.60,2.23,6.00,52.00,4660.00,,2150.00,638.00
1877,May,East Coast South,MDS,84.40,94.80,78.40,21.27,6.00,70.00,3952.00,,831.00,517.00
1877,May,East Coast Central,MSL,87.40,99.30,79.90,1.58,3.00,64.00,1943.00,,298.00,690.00
1877,May,Central,BLL,89.20,102.60,78.30,0.35,2.00,35.00,10225.00,,2708.00,1614.00
1877,May,East Coast North,VZG,87.50,89.70,84.40,13.20,6.00,71.00,1449.00,,31.00,1087.00
1877,Jun,South,MDR,85.10,98.20,77.60,2.02,4.00,59.00,5113.00,,1654.00,1560.00
1877,Jun,South Central,SLM,83.50,96.20,75.50,5.95,5.00,67.00,14128.00,,2668.00,5074.00
1877,Jun,South Central,CMB,78.00,90.50,72.10,3.68,12.00,73.00,7527.00,,4005.00,1400.00
1877,Jun,East Coast South,NGP,86.20,98.40,79.60,0.90,2.00,64.00,6356.00,,1785.00,481.00
1877,Jun,East Coast South,TRC,86.90,99.10,78.80,0.52,3.00,52.00,3970.00,,1139.00,785.00
1877,Jun,East Coast South,MDS,86.40,98.40,80.70,2.36,9.00,62.00,3566.00,,373.00,466.00
1877,Jun,East Coast Central,MSL,88.80,99.80,82.50,2.56,7.00,61.00,2078.00,,351.00,697.00
1877,Jun,Central,BLL,83.70,95.50,76.70,2.12,8.00,56.00,12634.00,,2714.00,1854.00
1877,Jun,East Coast North,VZG,88.70,91.50,85.90,1.30,5.00,67.00,2030.00,,190.00,1452.00
1877,Jul,South,MDR,87.00,102.30,77.80,0.65,2.00,53.00,7143.00,,1379.00,2495.00
1877,Jul,South Central,SLM,85.30,99.40,75.90,0.55,5.00,61.00,19923.00,,2074.00,7045.00
1877,Jul,South Central,CMB,78.60,92.70,71.50,0.03,2.00,67.00,9021.00,,2725.00,2327.00
1877,Jul,East Coast South,NGP,85.40,99.80,79.10,0.19,4.00,65.00,7265.00,,1632.00,632.00
1877,Jul,East Coast South,TRC,87.60,100.20,79.10,0.40,3.00,49.00,5488.00,,1596.00,1085.00
1877,Jul,East Coast South,MDS,86.40,101.50,80.80,1.22,9.00,59.00,4497.00,,443.00,609.00
