Year,Month,Met region,Station ,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mch,Mfv,,
1879,Sep,,JAC,86.7,101.3,74.6,0,0,55,0,38,,
1879,Sep,,SHI,86.7,101.3,74.6,0,0,55,95,342,,
1879,Sep,,HYD,84.9,97.3,75.3,0,0,58,0,322,,
1879,Sep,,KAR,80.5,87.5,75.2,0.01,1,77,1,281,,
1879,Oct,,JAC,76.7,96.8,61.3,0,0,48,0,40,,
1879,Oct,,SHI,76.7,96.8,61.3,0,0,48,184,556,,
1879,Oct,,HYD,82.2,97.3,69.9,0,0,43,0,468,,
1879,Oct,,KAR,78.9,89.8,70.7,0,0,66,0,300,,
1879,Nov,,JAC,63,83.7,45.8,0,0,41,0,57,,
1879,Nov,,SHI,63,83.7,45.8,0,0,41,33,615,,
1879,Nov,,HYD,68.7,85,54.9,0,0,42,0,632,,
1879,Nov,,KAR,69.8,84.6,58.2,0,0,51,0,389,,
1879,Dec,,JAC,57.1,76,39.5,0,0,42,0,60,,
1879,Dec,,SHI,57.1,76,39.5,0,0,42,0,628,,
1879,Dec,,HYD,63,78.5,50.3,0,0,40,0,820,,
1879,Dec,,KAR,66.7,79,54.7,0,0,57,0,537,,
1880,Jan,SIND,JAC,60.3,78.9,42.6,0,0,39,0,70,,
,,,,,,,,,,0,590,,
1880,Jan,,HYD,66.2,81.9,52.4,0,0,44,0,744,,
1880,Jan,,KAR,68.5,79.9,55,0,0,55,0,447,,
1880,Feb,,JAC,57.8,73.4,43.8,0.65,2,36,0,58,,
,,,,,,,,,,0,599,,
1880,Feb,,HYD,62.2,76,50.7,0.42,1,31,0,980,,
1880,Feb,,KAR,65.5,77.4,53.2,0.21,4,48,0,503,,
1880,Mar,,JAC,81.8,101,63.6,0,0,32,0,35,,
,,,,,,,,,,0,504,,
1880,Mar,,HYD,84.3,102.1,68.4,0,0,30,0,758,,
1880,Mar,,KAR,79.9,91.8,68.3,0,0,61,0,395,,
1880,Apr,,JAC,86.5,105.8,68.2,0,0,30,0,41,,
,,,,,,,,,,0,473,,
1880,Apr,,HYD,87.8,104.7,73.1,0,0,28,0,521,,
1880,Apr,,KAR,83,93.1,74,0,0,59,0,336,,
1880,May,,JAC,94.2,111.6,77.9,0,0,39,0,48,,
,,,,,,,,,,0,485,,
1880,May,,HYD,89.4,104.8,77.2,0,0,46,0,418,,
1880,May,,KAR,84.1,90.7,78.3,0,0,80,0,295,,
1880,Jun,,JAC,96.3,110.8,83.2,0,0,47,0,15,,
,,,,,,,,,,0,392,,
1880,Jun,,HYD,89.4,102.2,80.2,0,0,54,0,270,,
1880,Jun,,KAR,84.6,90.4,80.4,0,0,83,0,255,,
1880,Jul,,JAC,93.6,106.4,82.5,0.64,1,51,0,25,,
,,,,,,,,,,0,317,,
1880,Jul,,HYD,87.6,98.9,79.6,0.5,1,57,0,303,,
1880,Jul,,KAR,83.7,n/a,79.8,0.13,1,83,0,228,,
1880,Aug,,JAC,91.7,105.5,79.2,0,0,50,0,18,,
,,,,,,,,,,0,266,,
1880,Aug,,HYD,n/a,n/a,n/a,0,0,n/a,0,287,,
1880,Aug,,KAR,81.9,n/a,77.9,0,0,83,0,260,,
1880,Sep,,JAC,87,103.2,73.6,0.19,1,48,0,23,,
,,,,,,,,,,0,326,,
1880,Sep,,HYD,n/a,n/a,n/a,1.55,3,n/a,0,332,,
1880,Sep,,KAR,80.8,87.4,75.9,3.88,5,81,0,272,,
1880,Oct,,JAC,79.4,99.8,61.3,0,0,38,0,19,,
,,,,,,,,,,0,414,,
1880,Oct,,HYD,n/a,n/a,n/a,0,0,n/a,0,407,,
1880,Oct,,KAR,79.4,90.9,71.4,0,0,64,0,377,,
1880,Nov,,JAC,66.4,86,49.8,0,0,40,0,33,,
,,,,,,,,,,0,480,,
1880,Nov,,HYD,n/a,n/a,n/a,0,0,n/a,0,535,,
1880,Nov,,KAR,72.4,86.2,61.5,0,0,46,0,631,,
1880,Dec,,JAC,59.6,76.2,45.8,0.11,1,50,0,35,,
,,,,,,,,,,0,585,,
1880,Dec,,HYD,n/a,n/a,n/a,0,0,n/a,0,715,,
1880,Dec,,KAR,69.2,80,59.4,0,0,58,0,746,,
1881,Jan,SIND,JAC,58.4,77.4,41,0,0,40,0,53,,
,,,,,,,,,,0,513,,
1881,Jan,,HYD,n/a,n/a,n/a,0,0,n/a,0,816,,
1881,Jan,,KAR,66,79.1,54.3,0,0,54,0,849,,
1881,Feb,,JAC,66.5,83.9,51.6,0.17,4,42,0,33,,
,,,,,,,,,,0,539,,
1881,Feb,,HYD,n/a,n/a,n/a,0,0,n/a,0,724,,
1881,Feb,,KAR,70.8,81.9,61.3,0.08,2,75,0,769,,
1881,Mar,,JAC,73.6,89.4,60,0.12,1,40,0,59,,
,,,,,,,,,,0,714,,
1881,Mar,,HYD,n/a,n/a,n/a,0.1,1,n/a,0,843,,
1881,Mar,,KAR,75.8,84.5,66.6,0.35,1,66,0,744,,
1881,Apr,,JAC,89.7,99.6,69.9,0.14,1,38,0,37,,
,,,,,,,,,,0,599,,
1881,Apr,,HYD,n/a,n/a,n/a,3.4,2,n/a,0,864,,
1881,Apr,,KAR,78.2,85.4,72.3,4.75,3,82,0,537,,
1881,May,,JAC,95.1,113.3,78.4,0,0,26,0,59,,
,,,,,,,,,,0,498,,
1881,May,,HYD,93.8,106.6,83.2,0,0,47,0,548,,
1881,May,,KAR,86.1,93.4,79.2,0,0,76,0,406,,
1881,Jun,,JAC,97.1,111.9,83.5,0,0,40,0,49,,
,,,,,,,,,,0,450,,
1881,Jun,,HYD,89.6,98.2,81.7,0,0,54,0,384,,
1881,Jun,,KAR,86.1,91.8,81.6,0.04,1,81,0,362,,
1881,Jul,,JAC,96.8,109.6,86.5,0.06,1,45,0,36,,
,,,,,,,,,,0,454,,
1881,Jul,,HYD,89.7,98.1,82.6,0.6,3,59,0,333,,
1881,Jul,,KAR,85.1,90.5,81.1,1.71,10,80,0,309,,
1881,Aug,,JAC,91.5,104.5,82.5,0.23,3,56,0,41,,
,,,,,,,,,,0,420,,
1881,Aug,,HYD,n/a,n/a,n/a,6.61,10,n/a,0,355,,
1881,Aug,,KAR,82.9,87.5,78.6,2.04,6,78,0,288,,
1881,Sep,,JAC,89.1,104.3,76.4,0,0,52,0,51,,
,,,,,,,,,,0,518,,
1881,Sep,,HYD,n/a,n/a,n/a,3.72,2,n/a,0,480,,
1881,Sep,,KAR,81.7,87.6,77.3,1.05,1,79,0,414,,
1881,Oct,,JAC,81.2,99.4,66.8,0,0,48,0,84,,
,,,,,,,,,,0,812,,
1881,Oct,,HYD,n/a,n/a,n/a,0,0,n/a,0,766,,
1881,Oct,,KAR,79.9,87.6,74.9,0,0,81,0,582,,
1881,Nov,,JAC,65.7,87.4,48.7,0,0,41,0,88,,
,,,,,,,,,,0,1134,,
1881,Nov,,HYD,n/a,n/a,n/a,0,0,n/a,0,1377,,
1881,Nov,,KAR,73.4,88,61.1,0,0,60,0,838,,
1881,Dec,,JAC,59.2,78.4,43.1,0,0,42,0,77,,
,,,,,,,,,,0,966,,
1881,Dec,,HYD,n/a,n/a,n/a,0,0,n/a,0,1447,,
1881,Dec,,KAR,n/a,n/a,n/a,n/a,n/a,n/a,0,1014,,
1882,Jan,SIND,JAC,n/a,n/a,n/a,0.06,1,n/a,0,56,,
,,,,,,,,,,0,675,,
1882,Jan,,HYD,65.4,78.8,53.8,0.34,2,52,0,1145,,
1882,Jan,,KAR,66.5,77.5,58.9,1.04,3,62,0,903,,
1882,Feb,,JAC,59.6,76.6,44.4,0,0,32,0,56,,
,,,,,,,,,,0,593,,
1882,Feb,,HYD,66.6,80.7,53.6,0,0,37,0,1137,,
1882,Feb,,KAR,68.1,78.6,57.4,0,0,66,0,749,,
1882,Mar,,JAC,n/a,n/a,n/a,0,0,n/a,0,72,,
,,,,,,,,,,0,779,,
1882,Mar,,HYD,77.3,92.9,63.5,0,0,31,0,1619,,
1882,Mar,,KAR,75.7,86.4,64.4,0,0,66,0,941,,
1882,Apr,,JAC,n/a,n/a,n/a,0,0,n/a,0,73,,
,,,,,,,,,,0,772,,
1882,Apr,,HYD,85,101.4,70.6,0,0,32,0,1041,,
1882,Apr,,KAR,80.2,90.3,71.3,0,0,69,0,679,,
1882,May,,JAC,91.5,112.2,76.9,0,0,32,0,47,,
,,,,,,,,,,0,786,,
1882,May,,HYD,89.3,106.2,76.7,0.23,1,47,0,702,,
1882,May,,KAR,83.5,89.9,77.8,0,0,83,0,430,,
1882,Jun,,JAC,95.6,113.8,82.3,0,0,44,0,41,,
,,,,,,,,,,0,635,,
1882,Jun,,HYD,90.6,103.5,81,0,0,51,0,477,,
1882,Jun,,KAR,86.1,92.3,81.6,0,0,81,0,377,,
1882,Jul,,JAC,91.7,104.7,82.4,0.73,5,57,0,40,,
,,,,,,,,,,0,426,,
1882,Jul,,HYD,86,96.7,79.2,12.15,8,64,0,282,,
1882,Jul,,KAR,82.8,87.8,79.2,8.38,8,82,0,299,,
1882,Aug,,JAC,89.6,100.8,82.3,1.38,5,63,0,70,,
,,,,,,,,,,0,502,,
1882,Aug,,HYD,84.1,93.3,77.6,1.84,3,66,0,363,,
1882,Aug,,KAR,80.9,86.2,77.4,0.92,4,81,0,317,,
1882,Sep,,JAC,86.9,100.3,75.6,0,0,59,0,97,,
,,,,,,,,,,0,1286,,
1882,Sep,,HYD,84.5,96.2,75.5,0,0,61,0,479,,
1882,Sep,,KAR,81.7,87.7,76.6,0,0,79,0,390,,
1882,Oct,,JAC,77.3,97.5,61.1,0,0,46,0,246,,
,,,,,,,,,,0,3495,,
1882,Oct,,HYD,81.6,97.9,69.4,0,0,44,0,769,,
1882,Oct,,KAR,78.8,89.3,70.5,0,0,73,0,445,,
1882,Nov,,JAC,63.5,84.3,47.3,0,0,42,0,171,,
,,,,,,,,,,0,4242,,
1882,Nov,,HYD,71.1,86,57.3,0,0,36,0,865,,
1882,Nov,,KAR,71.5,86.1,58.7,0,0,62,0,681,,
1882,Dec,,JAC,60.9,76.8,46,0,0,46,0,141,,
,,,,,,,,,,0,2581,,
1882,Dec,,HYD,66.4,80.6,54.1,0,0,47,0,1015,,
1882,Dec,,KAR,69.3,81.3,57.6,0.2,1,69,0,687,,
1883,Jan,SIND,JAC,57.7,72,43.6,0.63,2,44,0,105,,
,,,,,,,,,,0,2032,,
1883,Jan,,HYD,62.4,75.5,50.7,0.92,1,45,0,1022,,
1883,Jan,,KAR,65.8,77.2,55.2,0.33,1,54,0,637,,
1883,Feb,,JAC,60.1,76,45.2,0,0,29,0,124,,
,,,,,,,,,,0,1730,,
1883,Feb,,HYD,65.1,79.1,53,0,0,32,0,1363,,
1883,Feb,,KAR,67.8,78.2,56.8,0,0,60,0,810,,
1883,Mar,,JAC,72.7,87.2,58.1,0.04,2,33,0,125,,
,,,,,,,,,,0,1546,,
1883,Mar,,HYD,75.9,90.1,63.3,0.2,1,37,0,1437,,
