Year,Month,Stations,Tmean,Tmean max,Tmean min,Rtotal,Rdays,Hmean ,Mch,Mfv,
1875,Oct,JES,80.3,88.9,74.2,0.72,6,72,0,54,
1875,Oct,CAL,81.2,86.9,76.6,3.3,7,76,49,399,
1875,Oct,SAU,80.8,86.1,75.3,6,10,78,54,134,
1875,Oct,BUR,80.8,88,74.2,1.73,4,72,1,174,
1875,Oct,BRH,80.2,89.2,74,1.82,5,68,0,11,
1875,Oct,PUR,79.9,89.6,68.5,0,0,NA,NA,NA,
1875,Oct,CUT,80.5,89.3,73.8,10.25,6,77,NA,NA,
1875,Nov,CHI,73.1,83.9,62.2,0,0,75,6,84,
1875,Nov,DAC,73.4,83.9,62.4,0,0,68,183,164,
1875,Nov,JES,72.3,84.5,60.4,0,0,66,12,107,
1875,Nov,CAL,73.7,82.2,66.5,0,0,67,89,497,
1875,Nov,SAU,73.9,81.8,65.4,0,0,71,40,208,
1875,Nov,BUR,73.6,83.7,62.1,0,0,64,0,324,
1875,Nov,BRH,72.9,83.9,62.3,0,0,59,0,50,
1875,Nov,PUR,71.4,84.3,55.4,0,0,NA,NA,NA,
1875,Nov,CUT,73.4,85.5,62.9,0,0,69,NA,NA,
1875,Dec,CHI,69.1,81.3,56.8,0,0,71,10,81,
1875,Dec,DAC,68.3,79.7,56.5,0,0,69,116,128,
1875,Dec,JES,67.5,80.5,54.1,0,0,65,51,102,
1875,Dec,CAL,69.2,78.4,61.5,0,0,69,50,339,
1875,Dec,SAU,70,78.4,60.5,0,0,70,27,139,
1875,Dec,BUR,69.1,79.6,57,0,0,64,0,300,
1875,Dec,BRH,67.5,79.7,56.6,0,0,63,1,39,
1875,Dec,PUR,65,78.5,49.9,0,0,NA,NA,NA,
1875,Dec,CUT,70.9,84.1,59,0,0,65,NA,NA,
1876,Jan,CHI,67.5,79.2,53.8,0,0,65,3,78,
1876,Jan,DAC,NA,NA,53.4,0,0,61,31,118,
1876,Jan,JES,65.4,78.7,50.9,0,0,61,67,191,
1876,Jan,CAL,67.8,78,59.5,0,0,64,45,188,
1876,Jan,SAU,69.7,78.2,60,0,0,71,24,114,
1876,Jan,BUR,67.4,80.1,53.5,0,0,NA,1,312,
1876,Jan,BRH,64.9,79,50.9,0,0,55,12,325,
1876,Jan,PUR,61,76.8,46.5,0.13,1,60,NA,NA,
1876,Jan,CUT,72.3,86.6,58.4,0,0,57,NA,NA,
1876,Feb,CHI,71.5,82.3,58.3,1.66,1,65,8,69,
1876,Feb,DAC,72,83.4,59,0.96,4,60,11,121,
1876,Feb,JES,70.3,85.6,56.1,0.38,2,56,57,225,
1876,Feb,CAL,73.1,83.9,64.8,2.97,2,61,56,120,
1876,Feb,SAU,75,81.5,67.2,0,0,72,4,72,
1876,Feb,BUR,72.7,86.6,57.5,0.44,1,46,1,253,
1876,Feb,BRH,69.6,86.8,53.3,0,0,47,20,268,
1876,Feb,PUR,66.6,82.8,50.8,0,0,53,NA,NA,
1876,Feb,CUT,77,92.6,62.8,0,0,51,NA,NA,
1876,Mar,CHI,78.3,87.2,68.5,1.15,7,76,4,96,
1876,Mar,DAC,79.5,89.5,70.1,3.13,8,67,72,98,
1876,Mar,JES,79.4,90.8,70.3,2.84,6,67,164,227,
1876,Mar,CAL,81.1,89.6,74.5,5.06,7,73,88,120,
1876,Mar,SAU,82.3,86.9,78.3,0.66,5,78,50,88,
1876,Mar,BUR,81,92.5,70.9,2.52,6,54,17,254,
1876,Mar,BRH,79.3,95.1,66.1,1.65,3,52,80,319,
1876,Mar,PUR,77,93,59.9,0,0,48,NA,NA,
1876,Mar,CUT,85.1,99,74.5,0.05,1,58,NA,NA,
1876,Apr,CHI,63.9,92.4,73.9,0.87,4,73,27,53,
1876,Apr,DAC,84.5,93.6,74.7,3.69,7,69,224,101,
1876,Apr,JES,84,96.3,75.4,5.26,4,67,447,208,
1876,Apr,CAL,86.2,95,79.6,0.16,2,71,70,100,
1876,Apr,SAU,85.2,88.9,81.9,0,0,79,17,121,
1876,Apr,BUR,86.2,100.3,75.9,1.42,3,55,80,224,
1876,Apr,BRH,85.2,101.9,73.3,3.05,3,52,115,296,
1876,Apr,PUR,NA,NA,NA,0.73,1,NA,NA,NA,
1876,Apr,CUT,88.9,102.1,79.5,0.2,3,60,NA,NA,
1876,May,CHI,83.2,92,74.2,13.59,14,76,28,57,
1876,May,DAC,82.9,90.8,75.5,10.07,15,77,66,80,
1876,May,JES,82.7,94.2,76.3,12.89,15,75,68,147,
1876,May,CAL,86.6,94.8,80.4,3.07,11,76,77,98,
1876,May,SAU,86.8,90.8,82.7,3.11,7,78,10,69,
1876,May,BUR,86.5,99.7,78.5,1.67,12,66,14,158,
1876,May,BRH,83.8,98.9,74.9,7.56,13,63,8,214,
1876,May,PUR,NA,96.7,NA,4.38,8,NA,NA,,
1876,May,CUT,89.7,102.2,81.3,3.34,9,58,NA,,
1876,Jun,CHI,82.5,88.3,76,17.34,20,82,29,65,
1876,Jun,DAC,NA,NA,79.3,9.06,16,85,16,68,
1876,Jun,JES,82.4,90.7,78.9,10.36,15,85,14,119,
1876,Jun,CAL,85.6,92.8,80.1,9.58,19,83,65,83,
1876,Jun,SAU,86.4,90.2,82.4,6.46,13,81,14,56,
1876,Jun,BUR,84.9,94,79.1,9.52,16,78,10,124,
1876,Jun,BRH,83.9,93.4,78.3,8.73,13,73,0,168,
1876,Jun,PUR,84.3,93.1,78.4,16.51,9,79,NA,,
1876,Jun,CUT,87.1,96.7,80.5,5.6,14,70,NA,,
1876,Jul,CHI,80.3,85.7,75.3,32.54,26,85,14,70,
1876,Jul,DAC,NA,NA,78.5,16.28,20,86,3,75,
1876,Jul,JES,81.6,87.5,78.3,17.96,27,88,1,140,
1876,Jul,CAL,82.6,86.8,79.8,19.47,26,89,21,121,
1876,Jul,SAU,83.5,85.6,80.3,22.57,21,88,6,45,
1876,Jul,BUR,82.9,89.2,79,10.43,25,86,0,158,
1876,Jul,BRH,82.9,89.8,78.4,12.63,22,79,0,230,
1876,Jul,PUR,83.4,90.6,78.5,17.53,22,84,NA,NA,
1876,Jul,CUT,82.4,89,78.2,9.8,30,80,NA,NA,
1876,Aug,CHI,81.2,88.2,74.6,13.05,22,83,4,58,
1876,Aug,DAC,84,88.9,78.6,11.24,20,84,3,72,
1876,Aug,JES,82.3,89.3,78.3,14.69,24,85,3,195,
1876,Aug,CAL,83,88.2,79.7,26.18,27,89,14,151,
1876,Aug,SAU,83.7,87.1,79.4,12.26,20,86,2,69,
1876,Aug,BUR,83,89.6,78.5,13.32,21,85,2,134,
1876,Aug,BRH,81.8,89.4,78.6,16.16,15,81,0,323,
1876,Aug,PUR,83.9,90.5,78.7,13.39,19,85,NA,NA,
1876,Aug,CUT,83.7,90.9,78.5,7.57,18,78,NA,NA,
1876,Sep,CHI,81.2,89.1,72.1,9.12,18,81,0,45,
1876,Sep,DAC,83.6,88.4,78.3,16.52,19,84,0,94,
1876,Sep,JES,81.8,88.8,78,6.36,19,86,0,144,
1876,Sep,CAL,82.9,88.1,79.7,9.91,22,88,8,184,
1876,Sep,SAU,83.6,87.3,79.8,10.98,16,84,4,77,
1876,Sep,BUR,82.8,89.8,78.4,8.07,20,85,5,130,
1876,Sep,BRH,82.5,90.5,78.5,11.4,13,78,6,293,
1876,Sep,PUR,83.2,91,78,7.07,13,84,NA,NA,
1876,Sep,CUT,82.2,89,77.4,9.83,18,82,NA,NA,
1876,Oct,CHI,79.5,87.4,71.4,1.61,6,81,0,50,
1876,Oct,DAC,80.4,86.6,72.8,2.77,8,77,22,98,
1876,Oct,JES,78.4,87,72.3,4.33,13,78,0,333,
1876,Oct,CAL,79.7,85,75.4,5.37,17,81,12,247,
1876,Oct,SAU,79.5,84.8,73.6,9.43,11,80,3,135,
1876,Oct,BUR,79.3,86.2,74,3,5,80,20,211,
1876,Oct,BRH,78.1,85.7,72.8,1.85,7,76,53,521,
1876,Oct,PUR,76.5,85.8,69.3,5.11,9,78,NA,NA,
1876,Oct,CUT,80,88.2,72.5,4.89,6,73,NA,NA,
1876,Nov,CHI,74,82.4,64.2,5.52,3,78,107,64,
1876,Nov,DAC,72.9,81,63.3,2.74,4,72,340,189,
1876,Nov,JES,71.1,81,61.9,1.84,5,75,130,489,
1876,Nov,CAL,73.4,80.8,67.3,0.32,3,72,62,246,
1876,Nov,SAU,73.5,80.7,65.7,0.27,1,74,29,130,
1876,Nov,BUR,72.5,81.7,62.5,0.24,2,70,9,257,
1876,Nov,BRH,71.2,81.3,61.9,0,0,67,131,720,
1876,Nov,PUR,70.3,82.2,58.7,0,0,68,NA,NA,
1876,Nov,CUT,74.9,86,63.3,0,0,62,NA,NA,
1876,Dec,CHI,67.9,78.4,55.9,0,0,70,525,85,
1876,Dec,DAC,67.3,77.2,55.4,0,0,67,189,192,
1876,Dec,JES,64.3,76.3,51.9,0,0,66,568,395,
1876,Dec,CAL,66.9,76.1,59.2,0,0,67,63,183,
1876,Dec,SAU,66.9,75.9,57,0,0,72,58,152,
1876,Dec,BUR,66.3,76.9,53.9,0,0,66,44,291,
1876,Dec,BRH,64.6,76.2,53.9,0,0,63,58,547,
1876,Dec,PUR,NA,76.6,NA,0,0,NA,NA,NA,
1876,Dec,CUT,68.5,82.1,54.8,0,0,61,NA,NA,
1877,Jan,CHI,67.8,78.5,56.1,0.08,3,71,4935,996,
1877,Jan,DAC,66.8,77.6,55.9,0.52,2,72,1124,1445,
1877,Jan,JES,64.6,77.1,53.7,0.9,3,72,"1,815",2266,
1877,Jan,CAL,67.7,76.1,60.7,2.77,5,74,254,535,
1877,Jan,SAU,67.8,76.2,59.2,2.76,2,78,714,2250,
1877,Jan,BUR,66.9,76.8,56.2,0.42,3,71,187,1499,
1877,Jan,BRH,64.4,76.3,55.1,3.24,3,70,207,1869,
1877,Jan,PUR,NA,75,NA,0.98,2,NA,3,2270,
1877,Jan,CUT,71.1,83,60.4,0.61,4,66,14,1261,
1877,Feb,CHI,68,78.4,56.7,4.03,7,73,1966,838,
1877,Feb,DAC,67.5,77.2,55.2,2.67,4,63,443,1161,
1877,Feb,JES,65,77,54,1.93,5,70,492,1705,
1877,Feb,CAL,68,76.3,60.8,2.9,8,70,203,367,
1877,Feb,SAU,68.8,76.1,60.1,2.97,7,75,248,1672,
1877,Feb,BUR,66.5,77.1,55.5,1.77,4,67,122,1303,
1877,Feb,BRH,64.1,76.7,54,1.3,4,62,216,1694,
1877,Feb,PUR,NA,75.4,NA,0.73,3,NA,0,1929,
1877,Feb,CUT,71.8,82,63.6,1.23,9,71,169,1075,
1877,Mar,CHI,75.9,85.5,64.9,2.31,5,70,576,928,
1877,Mar,DAC,77.6,87.9,67.5,3.86,12,67,350,1230,
1877,Mar,JES,77.4,89.9,67.8,2.51,8,68,362,1797,
1877,Mar,CAL,79.5,88.2,72.7,0.95,4,71,141,373,
1877,Mar,SAU,79.8,84.5,74.6,0.76,2,79,174,1821,
1877,Mar,BUR,79.2,92,68.7,1.54,8,60,205,1268,
1877,Mar,BRH,76.1,91.5,65.2,0.44,3,58,172,1763,
1877,Mar,PUR,76.6,90.5,64.2,0.19,1,56,2,2377,
1877,Mar,CUT,83,96.4,71.9,0.85,3,60,731,1418,
1877,Apr,CHI,79.9,87.8,70.3,2.17,8,73,828,926,
1877,Apr,DAC,79.7,89.6,71.3,6.16,15,77,1371,1265,
1877,Apr,JES,80.4,93.5,72.5,4.11,11,71,1449,1886,
1877,Apr,CAL,82.6,91.8,76.6,2.86,1,75,173,538,
1877,Apr,SAU,82.8,87.4,77.8,0.76,3,81,133,2134,
1877,Apr,BUR,82.9,95.5,72.8,2.01,5,61,173,1353,
1877,Apr,BRH,80.5,95,70.9,3.08,6,57,804,3025,
1877,Apr,PUR,79.7,93.4,66.6,2.58,6,60,179,2328,
1877,Apr,CUT,85.2,98.4,74.8,3.85,10,62,522,1226,
1877,May,CHI,83.7,92,75.1,6.1,11,75,285,1239,
1877,May,DAC,83.3,91.3,75.3,7.63,17,77,653,1592,
1877,May,JES,82.5,93.9,76.2,7.87,17,78,636,1737,
1877,May,CAL,85.2,84.7,79.5,5.39,9,77,64,463,
1877,May,SAU,85.5,89.7,79.7,5.36,9,81,20,1598,
1877,May,BUR,85.5,99.3,76.6,5.12,11,65,110,1310,
1877,May,BRH,84.7,99.2,76.7,1.92,8,60,920,2656,
1877,May,PUR,83.6,95,73.7,7.95,9,69,668,2323,
1877,May,CUT,88.2,100.3,78.4,5.69,9,65,208,1176,
1877,Jun,CHI,81.4,NA,76.6,17.6,11,81,51,1494,
1877,Jun,DAC,83.5,90.1,78.2,17.31,17,85,132,1273,
1877,Jun,JES,82.9,91.4,78.7,7.19,19,83,136,1576,
1877,Jun,CAL,84.4,91.6,80.9,4.89,14,86,22,319,
1877,Jun,SAU,85.6,89.2,81.4,8.66,16,86,9,1473,
1877,Jun,BUR,85.2,94.2,79.3,5.61,15,78,1,861,
1877,Jun,BRH,83.3,94.1,78.4,5.68,16,78,128,1678,
1877,Jun,PUR,85.6,95.1,78.8,2.53,10,77,342,2092,
1877,Jun,CUT,86.6,96.1,79.5,5.91,11,83,46,934,
1877,Jul,CHI,81.3,86.7,76.1,27.35,23,86,34,1655,
1877,Jul,DAC,83.6,88.1,79.4,18.09,22,87,31,1296,
1877,Jul,JES,82.3,89.5,78.2,10.85,20,87,61,1963,
1877,Jul,CAL,82.6,88.8,80.1,17.15,20,89,11,415,
1877,Jul,SAU,84.3,87.5,80.6,21.3,21,87,6,2062,
1877,Jul,BUR,84,91,79.1,9.67,20,84,17,951,
1877,Jul,BRH,82.4,89.7,78.9,13.36,19,84,104,1424,
1877,Jul,PUR,83.1,90.9,78.9,17.78,19,86,77,1923,
1877,Jul,CUT,84.9,92.7,79.3,9.22,12,77,130,906,
1877,Aug,CHI,81.4,87,75.7,41.35,21,89,20,999,
1877,Aug,DAC,83.9,88.3,79,17.82,19,86,21,1366,
1877,Aug,JES,81.9,88.7,78.1,20.04,24,86,37,2408,
1877,Aug,CAL,82.4,87.6,80.1,16.4,25,91,40,457,
1877,Aug,SAU,84,87.4,79.8,14.01,17,86,16,2011,
1877,Aug,BUR,83.2,89.7,79.2,19.41,23,86,23,1136,
1877,Aug,BRH,82.4,89.2,78.9,22.52,18,84,64,1857,
1877,Aug,PUR,85.1,92.7,79.3,6.35,17,82,61,2286,
1877,Aug,CUT,83.9,90.5,78.8,4.47,18,79,232,899,
1877,Sep,CHI,82,88.2,76,21.89,18,85,0,722,
1877,Sep,DAC,84,88.6,78.9,10.33,12,85,68,1565,
1877,Sep,JES,82.8,89.8,79,7.79,11,85,40,3603,
1877,Sep,CAL,83.6,89,80.5,8.88,18,88,142,784,
1877,Sep,SAU,84.8,88.5,80.5,5.54,12,83,34,2815,
1877,Sep,BUR,84.4,91.1,79.4,2.57,9,83,45,1657,
1877,Sep,BRH,83,90.3,79,9.51,14,82,51,2318,
1877,Sep,PUR,83.4,90.4,78,15.27,11,83,114,2134,
1877,Sep,CUT,84.6,92.1,78.3,6.25,14,77,701,965,
1877,Oct,CHI,79.9,88,71.8,1.89,6,79,2,642,
1877,Oct,DAC,82.1,88,74.4,3.57,6,77,661,2309,
1877,Oct,JES,80.4,89.1,74.3,4.95,8,78,107,4157,
1877,Oct,CAL,81.4,88.1,77.3,1.34,5,82,247,903,
1877,Oct,SAU,82.1,88.1,76.6,4.81,4,79,158,2631,
1877,Oct,BUR,81,89.1,74.3,2.2,4,77,101,2170,
1877,Oct,BRH,79.4,87.8,73.7,1.9,6,74,148,3020,
1877,Oct,PUR,78.6,87.9,70.8,0.97,2,74,159,3121,
1877,Oct,CUT,82.9,92.1,75.4,3.05,8,72,531,1010,
1877,Nov,CHI,75.9,84.7,66.1,0.21,2,79,1,693,
1877,Nov,DAC,76.6,85.3,66.6,0,0,72,1528,2933,
1877,Nov,JES,75.2,85.8,65.3,0,0,78,1096,8702,
1877,Nov,CAL,77.2,84.7,70.9,0,0,76,234,1158,
1877,Nov,SAU,77.4,85.2,70,0,0,76,294,3971,
1877,Nov,BUR,77,87.1,66.5,0,0,71,108,3052,
1877,Nov,BRH,74.8,84.9,65.8,0,0,70,531,4918,
1877,Nov,PUR,73.1,84.3,60.8,0,0,69,234,3805,
1877,Nov,CUT,78.1,89.1,66.9,0,0,66,535,1503,
1877,Dec,CHI,69.2,80.5,58.2,0,0,74,0,829,
1877,Dec,DAC,69.1,79.4,57.8,0.11,2,70,1545,3709,
1877,Dec,JES,67.2,79.3,55.7,0,0,68,2346,10873,
1877,Dec,CAL,69.7,78.4,62.8,0,0,70,333,1242,
1877,Dec,SAU,70.2,77.9,61.5,0.06,1,75,1071,5164,
1877,Dec,BUR,68.5,79.3,57.7,0.21,3,67,380,3415,
1877,Dec,BRH,65.9,77.3,56,0.54,3,69,458,5450,
1877,Dec,PUR,63.4,75.4,51.7,0.23,3,72,223,4091,
1877,Dec,CUT,74.7,86.5,64.1,0,0,64,494,1776,
1878,Jan,CHI,66.8,78.9,54.4,0.26,1,71,5,941,
1878,Jan,DAC,65.5,76.8,53.6,0.73,1,66,783,2879,
1878,Jan,JES,64.5,76.5,52.1,0.57,1,66,1697,6739,
1878,Jan,CAL,64.6,76.6,55.4,0,0,72,175,743,
1878,Jan,SAU,68.6,74.8,59.1,0.41,1,76,955,3323,
1878,Jan,BUR,66,76.9,55.1,0.1,2,67,496,2473,
1878,Jan,BRH,63.3,75.3,52.8,0.29,4,62,258,2739,
1878,Jan,PUR,60.2,73.7,47.2,0.09,1,67,14,3599,
1878,Jan,CUT,74.6,86.3,63.9,0.12,1,67,187,1652,
1878,Feb,CHI,75.1,84.8,63.6,0.37,2,74,5,673,
1878,Feb,DAC,74,86.6,61.1,0.55,1,63,21,1711,
1878,Feb,JES,72.9,88.5,61.6,0.76,3,64,526,3058,
1878,Feb,CAL,73.4,84.5,64.3,0.54,4,69,189,586,
1878,Feb,SAU,77.2,NA,70.1,0.32,3,79,624,2369,
1878,Feb,BUR,74.3,87,62.1,0.19,3,60,391,1828,
1878,Feb,BRH,71.6,85.8,58.9,0.44,3,58,118,1900,
1878,Feb,PUR,67.7,82,54.3,0.58,1,60,0,3171,
1878,Feb,CUT,81.2,95.4,69.3,0.14,1,60,120,1433,
1878,Mar,CHI,78.7,88.5,68.2,2.16,5,73,6,759,
1878,Mar,DAC,79.8,91.5,68.6,0.3,5,63,188,1690,
1878,Mar,JES,78.5,94.9,68.2,1.47,4,63,1104,2659,
1878,Mar,CAL,78.5,91.2,70,0.77,4,67,413,672,
1878,Mar,SAU,81.1,84.7,74.5,0.95,4,78,960,2939,
1878,Mar,BUR,81,94.9,68.7,1.05,3,54,883,2155,
1878,Mar,BRH,78.6,96.3,65.5,0.28,2,55,171,2768,
1878,Mar,PUR,76.4,91.4,60.2,0.46,2,55,598,3440,
1878,Mar,CUT,84.6,99.3,73.7,0.98,2,58,264,1650,
1878,Apr,CHI,84.1,92.3,73.8,2.41,5,71,1,599,
1878,Apr,DAC,82.6,92.5,72.5,6.47,12,70,510,1865,
1878,Apr,JES,81.1,97.3,73.8,11.36,10,72,1261,2317,
1878,Apr,CAL,82.2,93.9,75.6,3.18,8,73,367,503,
1878,Apr,SAU,84.9,87.8,79.7,0.5,3,78,798,2338,
1878,Apr,BUR,85,97.5,75.3,4.57,7,63,502,2191,
1878,Apr,BRH,84.1,99.4,74.5,1.42,5,62,301,2529,
1878,Apr,PUR,82.6,95.5,69.8,2.36,5,63,3968,3741,
1878,Apr,CUT,88.8,102.7,78.1,0.74,3,57,321,1442,
1878,May,CHI,83.5,91.5,74.2,5.22,14,76,22,684,
1878,May,DAC,81.7,90.5,73.4,8.36,15,78,301,1494,
1878,May,JES,80.9,91.5,75.1,9.23,21,78,678,2007,
1878,May,CAL,80.6,92.1,74.5,13.11,20,84,175,374,
1878,May,SAU,85.7,88.6,78.7,3.44,9,78,143,1819,
1878,May,BUR,82.3,93.3,74.3,12.35,17,74,79,1716,
1878,May,BRH,81.1,93.7,73.3,5.23,11,71,137,1662,
1878,May,PUR,81.9,92.1,71.8,4.24,11,70,1299,3463,
1878,May,CUT,87.6,100.7,79,5.72,14,63,623,1246,
1878,Jun,CHI,84.3,90.4,77.3,20.04,13,80,20,748,
1878,Jun,DAC,85.8,91.9,79.3,6.58,11,82,94,1226,
1878,Jun,JES,84.4,94.7,79.5,5.16,10,81,82,1718,
1878,Jun,CAL,85.7,94.6,80.7,4.87,12,82,63,462,
1878,Jun,SAU,89,92.1,85.1,1.69,6,80,18,1719,
1878,Jun,BUR,87.9,98.2,80.5,2.75,8,73,36,1831,
1878,Jun,BRH,86,97,79.7,12.02,10,73,8,1584,
1878,Jun,PUR,86.7,97,78.3,12.75,8,72,162,1030,
1878,Jun,CUT,91.6,103.1,83.6,8.87,10,63,510,1358,
1878,Jul,CHI,82.8,88.9,77.2,21.42,23,83,13,922,
1878,Jul,DAC,84,89.4,80,19.16,24,87,44,1135,
1878,Jul,JES,83,90,79.8,11.15,23,87,72,1702,
1878,Jul,CAL,82.6,89.7,79.6,9.7,23,89,46,410,
1878,Jul,SAU,85.9,88.7,82.2,10.09,19,84,24,1621,
1878,Jul,BUR,84.6,91.8,79.7,10.54,16,84,59,1539,
1878,Jul,BRH,82.9,91,79.2,12.87,18,85,5,1345,
1878,Jul,PUR,83.3,90.4,78.7,15.25,20,86,1,732,
1878,Jul,CUT,85.3,93.3,80.1,11.8,19,76,899,1036,
1878,Aug,CHI,82.3,87.9,77.3,22.52,22,85,39,919,
1878,Aug,DAC,84,88.4,79.5,15.92,22,86,30,1162,
1878,Aug,JES,81.9,88.3,79.2,15.33,23,89,52,1879,
1878,Aug,CAL,81.9,"87,6",78.9,11.75,25,90,56,451,
1878,Aug,SAU,84.4,87.2,80.5,14.23,19,86,17,1829,
1878,Aug,BUR,83.3,89.1,79.7,14.98,24,86,61,1406,
